,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,XTZ-USD,73.05457456822892,16.0
1,AAVE-USD,YFI-USD,0.010401007913638658,17.0
2,AAVE-USD,MATIC-USD,70.27340996784278,23.0
3,AAVE-USD,RUNE-USD,41.37786355576337,21.0
4,ZEC-USD,FIL-USD,12.336009056574714,23.0
5,ZEC-USD,COMP-USD,1.2092884054399349,10.0
6,ZEC-USD,DOT-USD,8.753528414570958,16.0
7,ALGO-USD,ATOM-USD,0.01836891363495778,9.0
8,ETH-USD,CELO-USD,2495.6000778323896,15.0
9,UMA-USD,LINK-USD,0.26892883613384133,15.0
10,UMA-USD,DOGE-USD,21.461937118693555,10.0
11,1INCH-USD,ZRX-USD,2.5009906541818463,23.0
12,1INCH-USD,XLM-USD,5.348128837754414,9.0
13,ATOM-USD,LTC-USD,0.13505692546651663,10.0
14,XTZ-USD,COMP-USD,0.02327417957902202,16.0
15,XTZ-USD,RUNE-USD,0.5663536293758851,16.0
16,LINK-USD,DOGE-USD,79.79886841189803,10.0
17,COMP-USD,DOT-USD,7.237836223408523,6.0
18,COMP-USD,MATIC-USD,41.3197883593487,15.0
19,COMP-USD,XLM-USD,444.1475293330918,19.0
20,YFI-USD,ZRX-USD,33967.73081274325,14.0
21,YFI-USD,MATIC-USD,6756.327565825971,12.0
22,YFI-USD,RUNE-USD,3978.1925950729164,5.0
23,DOGE-USD,ZRX-USD,0.4561526416157292,21.0
24,DOGE-USD,MATIC-USD,0.09073078943152087,21.0
25,DOGE-USD,RUNE-USD,0.05341878723413252,23.0
26,EOS-USD,BCH-USD,0.008794478715246093,8.0
27,ZRX-USD,MATIC-USD,0.19889044244241083,9.0
28,MATIC-USD,RUNE-USD,0.5887744166200602,11.0
